"Year","Week","Crop","Pounds","Calories"
2010,26,"basil",14.5,1514.09
2010,26,"squash",113.25,8226.48
2010,27,"basil",2,208.84
2010,27,"beets",18,3513.96
2010,27,"parsley",3,490.32
2010,27,"squash",104,7554.56
2010,28,"beets",3,585.66
2010,28,"carrots",1.5,279.21
2010,28,"parsley",1,163.44
2010,28,"squash",59,4285.76
2010,29,"cucumbers",25,1702.5
2010,29,"eggplant",9.5,1035.12
2010,29,"squash",111,8063.04
2010,30,"cucumbers",2,136.2
2010,30,"eggplant",10.5,1144.08
2010,30,"squash",27,1961.28
2010,31,"collards",25.5,3473.1
2010,31,"corn",6.25,2780.75
2010,31,"cucumbers",0.5,34.05
2010,31,"eggplant",2,217.92
2010,31,"squash",10,726.4
2010,31,"tomatoes",0.25,17.025
2010,32,"collards",3.5,476.7
2010,32,"cucumbers",1.5,102.15
2010,32,"eggplant",12.25,1334.76
2010,32,"kale",2,454
2010,32,"peppers",1.25,113.5
2010,32,"squash",16,1162.24
2010,32,"tomatoes",11,749.1
2010,33,"basil",9,939.78
2010,33,"cucumbers",2,136.2
2010,33,"peppers",2.5,227
2010,33,"squash",3,217.92
2010,33,"tomatoes",17,1157.7
2010,34,"basil",3,313.26
2010,34,"collards",3.5,476.7
2010,34,"eggplant",19.5,2124.72
2010,34,"tomatoes",60.5,4120.05
2010,35,"collards",2,272.4
2010,35,"corn",19,8453.48
2010,35,"eggplant",2.5,272.4
2010,35,"tomatoes",50.5,3439.05
2010,36,"eggplant",24.5,2669.52
2010,36,"lettuce",25,1702.5
2010,36,"tomatoes",30.25,2060.025
2010,37,"tomatoes",11,749.1
2010,38,"eggplant",13.5,1470.96
2010,38,"tomatoes",8.25,561.825
2010,39,"tomatoes",3.5,238.35
2010,40,"eggplant",5.5,599.28
2011,24,"swiss chard",4.25,366.605
2011,25,"collards",28.5,3881.7
2011,25,"kale",14.25,3234.75
2011,25,"lettuce",11.5,783.15
2011,25,"swiss chard",1.25,107.825
2011,26,"collards",6.75,919.35
2011,26,"kale",5.25,1191.75
2011,26,"lettuce",8.75,595.875
2011,26,"swiss chard",3.25,280.345
2011,27,"beans",7,985.18
2011,27,"collards",24,3268.8
2011,27,"eggplant",1.75,190.68
2011,27,"turnips",4.5,572.04
2011,27,"zucchini",25,1816
2011,28,"beans",16,2251.84
2011,28,"cabbage",11.25,1276.875
2011,28,"collards",23.75,3234.75
2011,28,"cucumbers",51.75,3524.175
2011,28,"kale",11.5,2610.5
2011,28,"zucchini",57,4140.48
2011,29,"beans",16,2251.84
2011,29,"collards",14,1906.8
2011,29,"cucumbers",35,2383.5
2011,29,"eggplant",5.5,599.28
2011,29,"kale",4,908
2011,29,"tomatoes",15,1021.5
2011,29,"turnips",42,5339.04
2011,29,"zucchini",4,290.56
2011,30,"beans",1.5,211.11
2011,30,"collards",14.5,1974.9
2011,30,"corn",15.75,7007.49
2011,30,"cucumbers",9,612.9
2011,30,"eggplant",1.5,163.44
2011,30,"kale",1.5,340.5
2011,30,"turnips",8,1016.96
2011,30,"zucchini",36,2615.04
2011,31,"collards",6.75,919.35
2011,31,"eggplant",50.5,5502.48
2011,31,"zucchini",15,1089.6
2011,32,"beans",2,281.48
2011,32,"collards",21.75,2962.35
2011,32,"corn",23,10233.16
2011,32,"eggplant",24,2615.04
2011,32,"kale",3.75,851.25
2011,32,"tomatoes",19.75,1344.975
2011,32,"zucchini",6.75,490.32
2011,33,"beans",7,985.18
2011,33,"collards",11.75,1600.35
2011,33,"eggplant",3,326.88
2011,33,"kale",5.75,1305.25
2011,33,"peppers",0.5,45.4
2011,33,"tomatoes",72.5,4937.25
2011,33,"zucchini",9.5,690.08
2011,34,"beans",6.25,879.625
2011,34,"collards",7.25,987.45
2011,34,"eggplant",46.5,5066.64
2011,34,"tomatoes",45.25,3081.525
2011,35,"collards",3,408.6
2011,35,"eggplant",9.5,1035.12
2011,35,"kale",10,2270
2011,35,"peppers",0.75,68.1
2011,35,"tomatoes",19,1293.9
2011,36,"cabbage",2,227
2011,36,"collards",9.25,1259.85
2011,36,"eggplant",7,762.72
2011,36,"kale",15,3405
2011,36,"tomatoes",92.75,6316.275
2011,37,"collards",13,1770.6
2011,37,"kale",2.5,567.5
2011,37,"tomatoes",64,4358.4
2011,38,"cabbage",5.75,652.625
2011,38,"eggplant",1.5,163.44
2011,38,"kale",3.5,794.5
2011,38,"peppers",0.25,22.7
2011,38,"tomatoes",14.5,987.45
2011,39,"arugula",3.25,368.875
2011,39,"kale",8.5,1929.5
2011,40,"collards",12,1634.4
2011,40,"peppers",1.5,136.2
2011,41,"arugula",7,794.5
2011,41,"collards",20,2724
2011,41,"kale",14.5,3291.5
2012,25,"lettuce",16,1089.6
2012,25,"zucchini",29,2106.56
2012,26,"kale",15,3405
2012,26,"lettuce",12,817.2
2012,26,"peppers",25,2270
2012,26,"squash",115,8353.6
2012,26,"turnips",30,3813.6
2012,26,"zucchini",3.5,254.24
2012,27,"basil",3,313.26
2012,27,"broccoli",3.5,540.26
2012,27,"zucchini",116.25,8444.4
2012,28,"beans",3,422.22
2012,28,"broccoli",11,1697.96
2012,28,"cucumbers",48,3268.8
2012,28,"lettuce",33,2247.3
2012,28,"turnips",50,6356
2012,28,"zucchini",113.75,8262.8
2012,29,"basil",3,313.26
2012,29,"beans",4,562.96
2012,29,"cucumbers",28.5,1940.85
2012,29,"eggplant",5.25,572.04
2012,29,"lettuce",4,272.4
2012,29,"squash",3,217.92
2012,29,"zucchini",83.25,6047.28
2012,30,"basil",2,208.84
2012,30,"beans",9,1266.66
2012,30,"cabbage",23.5,2667.25
2012,30,"corn",1,444.92
2012,30,"cucumbers",32.25,2196.225
2012,30,"eggplant",7,762.72
2012,30,"parsley",1.5,245.16
2012,30,"peas",1,335.96
2012,30,"peppers",2.25,204.3
2012,30,"squash",9.5,690.08
2012,30,"tomatoes",9,612.9
2012,30,"zucchini",37,2687.68
2012,31,"basil",1.5,156.63
2012,31,"beans",2.23,313.8502
2012,31,"cabbage",27,3064.5
2012,31,"corn",13.5,6006.42
2012,31,"cucumbers",28.25,1923.825
2012,31,"eggplant",21.75,2369.88
2012,31,"kale",5,1135
2012,31,"parsley",1.5,245.16
2012,31,"peppers",2,181.6
2012,31,"squash",26,1888.64
2012,31,"tomatoes",18,1225.8
2012,31,"zucchini",34,2469.76
2012,32,"cucumbers",10,681
2012,32,"kale",11.25,2553.75
2012,32,"peppers",11.5,1044.2
2012,32,"squash",15.25,1107.76
2012,32,"tomatoes",92,6265.2
2012,32,"zucchini",4,290.56
2012,33,"basil",3,313.26
2012,33,"cabbage",32.25,3660.375
2012,33,"corn",4.75,2113.37
2012,33,"cucumbers",2,136.2
2012,33,"eggplant",17,1852.32
2012,33,"kale",8,1816
2012,33,"peppers",3.25,295.1
2012,33,"squash",16.25,1180.4
2012,33,"tomatoes",204.5,13926.45
2012,33,"zucchini",14,1016.96
2012,34,"basil",3,313.26
2012,34,"kale",4,908
2012,34,"peppers",4,363.2
2012,34,"squash",2.5,181.6
2012,34,"tomatoes",212,14437.2
2012,35,"kale",10.75,2440.25
2012,35,"peppers",4,363.2
2012,35,"squash",5.5,399.52
2012,35,"tomatoes",58.5,3983.85
2012,35,"zucchini",7.5,544.8
2012,36,"peppers",4,363.2
2012,36,"squash",2.75,199.76
2012,36,"tomatoes",29.5,2008.95
2012,37,"squash",3.5,254.24
2012,38,"beans",5,703.7
2012,38,"peppers",3,272.4
2012,40,"peppers",14.5,1316.6
2012,40,"tomatoes",4.5,306.45
2013,22,"lettuce",8,544.8
2013,23,"kale",6,1362
2013,23,"lettuce",7,476.7
2013,24,"collards",8,1089.6
2013,24,"kale",4.5,1021.5
2013,25,"broccoli",1.5,231.54
2013,25,"collards",12,1634.4
2013,25,"lettuce",3.25,221.325
2013,25,"squash",3.5,254.24
2013,26,"broccoli",2,308.72
2013,26,"collards",6,817.2
2013,26,"kale",2.25,510.75
2013,26,"squash",19.5,1416.48
2013,26,"zucchini",32.5,2360.8
2013,27,"beans",22.75,3201.835
2013,27,"broccoli",0.5,77.18
2013,27,"collards",14.75,2008.95
2013,27,"squash",37,2687.68
2013,27,"zucchini",32.75,2378.96
2013,28,"beans",11,1548.14
2013,28,"collards",5.5,749.1
2013,28,"cucumbers",11,749.1
2013,28,"squash",7,508.48
2013,28,"zucchini",14.5,1053.28
2013,29,"beans",8,1125.92
2013,29,"collards",4.75,646.95
2013,29,"corn",26.5,11790.38
2013,29,"cucumbers",27,1838.7
2013,29,"peppers",1.25,113.5
2013,29,"squash",1,72.64
2013,30,"corn",4,1779.68
2013,30,"cucumbers",18,1225.8
2013,30,"kale",1,227
2013,30,"peppers",2.5,227
2013,31,"collards",8,1089.6
2013,31,"cucumbers",16.25,1106.625
2013,31,"peppers",2,181.6
2013,31,"squash",11,799.04
2013,31,"tomatoes",1,68.1
2013,31,"turnips",1,127.12
2013,32,"basil",1,104.42
2013,32,"beans",7,985.18
2013,32,"collards",6,817.2
2013,32,"cucumbers",2,136.2
2013,32,"eggplant",2.5,272.4
2013,32,"peppers",1,90.8
2013,32,"tomatoes",46,3132.6
2013,33,"beans",3.5,492.59
2013,33,"eggplant",6.75,735.48
2013,33,"tomatoes",23.5,1600.35
2013,34,"beans",1,140.74
2013,34,"cabbage",15,1702.5
2013,34,"eggplant",3,326.88
2013,34,"peppers",4,363.2
2013,34,"tomatoes",32.25,2196.225
2013,35,"collards",1.5,204.3
2013,35,"eggplant",4,435.84
2013,35,"peppers",5.75,522.1
2013,35,"tomatoes",3,204.3
2013,36,"cabbage",2.75,312.125
2013,36,"eggplant",4,435.84
2013,36,"turnips",14,1779.68
2013,37,"eggplant",3,326.88
2013,37,"peppers",2,181.6
2013,37,"tomatoes",1.5,102.15
